label	remaining_run_sandboxes	remaining_run_shims	tap_ready	tap_links	tap_pool	tap_abnormal	tap_quarantined
3u-tpl-e9cc8f3f845a4f7fb1117dc4-r4	0	0	1	1000	984	0	0
3u-tpl-e9cc8f3f845a4f7fb1117dc4-r5	0	0	1	1000	984	0	0
3u-tpl-e9cc8f3f845a4f7fb1117dc4-r6	0	0	1	1000	984	0	0
3u-tpl-6c6aea065a9348f984f2424f-r1	0	0	1	1000	984	0	0
3u-tpl-6c6aea065a9348f984f2424f-r2	0	0	1	1000	984	0	0
3u-tpl-6c6aea065a9348f984f2424f-r3	0	0	1	1000	984	0	0
3u-tpl-6c6aea065a9348f984f2424f-r4	0	0	1	1000	984	0	0
3u-tpl-6c6aea065a9348f984f2424f-r5	0	0	1	1000	984	0	0
3u-tpl-6c6aea065a9348f984f2424f-r6	0	0	1	1000	984	0	0
3u-tpl-0e55827a37ab4058849ff182-r1	0	0	1	1000	984	0	0
3u-tpl-0e55827a37ab4058849ff182-r2	0	0	1	1000	984	0	0
3u-tpl-0e55827a37ab4058849ff182-r3	0	0	1	1000	984	0	0
3u-tpl-0e55827a37ab4058849ff182-r4	0	0	1	1000	984	0	0
3u-tpl-0e55827a37ab4058849ff182-r5	0	0	1	1000	984	0	0
3u-tpl-0e55827a37ab4058849ff182-r6	0	0	1	1000	984	0	0
4u-tpl-3963006c91d84baaba4aea43-r1	0	0	1	1000	984	0	0
4u-tpl-3963006c91d84baaba4aea43-r2	0	0	1	1000	984	0	0
4u-tpl-3963006c91d84baaba4aea43-r3	0	0	1	1000	984	0	0
4u-tpl-3963006c91d84baaba4aea43-r4	0	0	1	1000	984	0	0
4u-tpl-3963006c91d84baaba4aea43-r5	0	0	1	1000	984	0	0
4u-tpl-3963006c91d84baaba4aea43-r6	0	0	1	1000	984	0	0
4u-tpl-8d2ed1c6017b4901af66d7b0-r1	0	0	1	1000	984	0	0
4u-tpl-8d2ed1c6017b4901af66d7b0-r2	0	0	1	1000	984	0	0
4u-tpl-8d2ed1c6017b4901af66d7b0-r3	0	0	1	1000	984	0	0
4u-tpl-8d2ed1c6017b4901af66d7b0-r4	0	0	1	1000	984	0	0
4u-tpl-8d2ed1c6017b4901af66d7b0-r5	0	0	1	1000	984	0	0
4u-tpl-8d2ed1c6017b4901af66d7b0-r6	0	0	1	1000	984	0	0
4u-tpl-90522c835ea844c6a46ce9fa-r1	0	0	1	1000	984	0	0
4u-tpl-90522c835ea844c6a46ce9fa-r2	0	0	1	1000	984	0	0
4u-tpl-90522c835ea844c6a46ce9fa-r3	0	0	1	1000	984	0	0
4u-tpl-90522c835ea844c6a46ce9fa-r4	0	0	1	1000	984	0	0
4u-tpl-90522c835ea844c6a46ce9fa-r5	0	0	1	1000	984	0	0
4u-tpl-90522c835ea844c6a46ce9fa-r6	0	0	1	1000	984	0	0
4u-tpl-cfd915a64e2d49808f0ef4b9-r1	0	0	1	1000	984	0	0
4u-tpl-cfd915a64e2d49808f0ef4b9-r2	0	0	1	1000	984	0	0
